Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,1000000,0,0,0,325
11,1000000,0,0,0,387
12,1000000,0,0,0,366
13,1000000,0,0,0,394
14,1000000,0,0,0,455
15,1000000,0,0,0,458
16,1000000,0,1,0,501
17,1000000,0,3,0,539
18,1000000,0,6,0,566
19,1000000,0,15,0,699
20,1000000,0,38,0,703
21,1000000,0,54,0,657
22,1000000,0,112,0,680
23,1000000,0,220,0,719
24,1000000,0,480,0,1095
25,1000000,0,984,0,1081
26,1000000,0,2214,0,1216
27,1000000,0,4363,0,989
28,1000000,0,7588,0,939
29,1000000,0,15237,0,1154
30,1000000,0,28255,0,1052
