Tamaño Conjunto, Valor Objetivo, Fuerza Bruta (ms), Backtracking (ms), PD Top Down (ms), PD Bottom Up (ms)
5,1000,0,0,0,0
6,1000,0,0,0,0
7,1000,0,0,0,1
8,1000,0,0,0,0
9,1000,0,0,0,0
10,1000,0,0,1,0
11,1000,0,0,0,0
12,1000,1,0,0,1
13,1000,1,0,0,1
14,1000,2,0,0,1
15,1000,4,1,0,0
16,1000,8,1,0,1
17,1000,17,3,0,1
18,1000,37,5,1,0
19,1000,78,12,0,1
20,1000,167,21,0,1
21,1000,337,44,1,0
22,1000,697,90,1,0
23,1000,1530,178,0,1
24,1000,3069,348,0,1
25,1000,6150,698,0,1
26,1000,12625,1399,0,1
27,1000,26370,2885,1,0
28,1000,52443,5508,1,1
