Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10011,10,0,0,0,7
10011,510,0,0,0,175
10011,1010,0,0,0,408
10011,1510,0,0,0,496
10011,2010,0,0,0,645
10011,2510,0,0,0,903
10011,3010,0,0,0,1083
10011,3510,0,0,0,1283
10011,4010,0,0,0,1689
10011,4510,0,0,0,1561
10011,5010,0,0,0,1675
10011,5510,0,0,0,1784
10011,6010,0,0,0,1951
10011,6510,0,0,0,2247
10011,7010,0,0,0,2268
10011,7510,0,0,0,2431
10011,8010,0,0,0,2543
10011,8510,0,0,0,2780
10011,9010,0,0,0,3076
10011,9510,0,0,0,3263
10011,10010,0,0,0,3338
