Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
500,11001,0,0,70,0
1000,11001,0,0,146,0
1500,11001,0,0,278,0
2000,11001,0,0,383,0
2500,11001,0,0,508,0
3000,11001,0,0,703,0
3500,11001,0,0,1010,0
4000,11001,0,0,1059,0
4500,11001,0,0,1200,0
5000,11001,0,0,1464,0
5500,11001,0,0,1842,0
6000,11001,0,0,2148,0
6500,11001,0,0,2733,0
7000,11001,0,0,2838,0
7500,11001,0,0,3094,0
8000,11001,0,0,3742,0
8500,11001,0,0,4378,0
9000,11001,0,0,4827,0
9500,11001,0,0,5067,0
10000,11001,0,0,5581,0
10500,11001,0,0,6253,0
11000,11001,0,0,7135,0
