Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
500,11001,0,0,0,173
1000,11001,0,0,0,340
1500,11001,0,0,0,543
2000,11001,0,0,0,671
2500,11001,0,0,0,789
3000,11001,0,0,0,966
3500,11001,0,0,0,1119
4000,11001,0,0,0,1397
4500,11001,0,0,0,1529
5000,11001,0,0,0,1607
5500,11001,0,0,0,1727
6000,11001,0,0,0,1867
6500,11001,0,0,0,2008
7000,11001,0,0,0,2200
7500,11001,0,0,0,2390
8000,11001,0,0,0,2568
8500,11001,0,0,0,3105
9000,11001,0,0,0,2957
9500,11001,0,0,0,3139
10000,11001,0,0,0,3172
10500,11001,0,0,0,3328
11000,11001,0,0,0,3479
