Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10011,10,0,0,9,6
10011,510,0,0,351,151
10011,1010,0,0,637,308
10011,1510,0,0,1041,456
10011,2010,0,0,1218,576
10011,2510,0,0,1545,737
10011,3010,0,0,1815,867
10011,3510,0,0,2087,989
10011,4010,0,0,2337,1140
10011,4510,0,0,2603,1272
10011,5010,0,0,2971,1446
10011,5510,0,0,3025,1609
10011,6010,0,0,3092,1644
10011,6510,0,0,3288,1777
10011,7010,0,0,3451,1922
10011,7510,0,0,3595,2067
10011,8010,0,0,3919,2190
10011,8510,0,0,3913,2332
10011,9010,0,0,4090,2456
10011,9510,0,0,4064,2593
10011,10010,0,0,4044,2738
