Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,10011,0,0,0,3
510,10011,0,0,60,169
1010,10011,0,0,129,361
1510,10011,0,0,228,466
2010,10011,0,0,307,636
2510,10011,0,0,450,807
3010,10011,0,0,569,948
3510,10011,0,0,725,1058
4010,10011,0,0,901,1216
4510,10011,0,0,1116,1357
5010,10011,0,0,1363,1605
5510,10011,0,0,1535,1651
6010,10011,0,0,1787,1795
6510,10011,0,0,2059,1942
7010,10011,0,0,2343,2082
7510,10011,0,0,2665,2256
8010,10011,0,0,3013,2390
8510,10011,0,0,3353,2550
9010,10011,0,0,3824,2697
9510,10011,0,0,4281,2837
10010,10011,0,0,4774,3031
