Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10000,10,0,0,12,7
10000,1010,0,0,686,352
10000,2010,0,0,1422,617
10000,3010,0,0,1910,870
10000,4010,0,0,2549,1241
10000,5010,0,0,3402,1718
10000,6010,0,0,3695,1820
10000,7010,0,0,4612,2201
10000,8010,0,0,5241,2881
10000,9010,0,0,5415,2582
10000,10010,0,0,4292,2837
10,10000,0,0,1,4
1010,10000,0,0,124,323
2010,10000,0,0,337,596
3010,10000,0,0,572,1047
4010,10000,0,0,956,1202
5010,10000,0,0,1544,1675
6010,10000,0,0,1823,1862
7010,10000,0,0,2525,2463
8010,10000,0,0,3609,2519
9010,10000,0,0,3939,2705
10010,10000,0,0,4381,2825
