Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
5000,10,0,0,6,5
5000,1010,0,0,335,178
5000,2010,0,0,609,312
5000,3010,0,0,821,544
5000,4010,0,0,1034,632
5000,5010,0,0,1166,850
5000,6010,0,0,1173,1062
5000,7010,0,0,1206,1121
5000,8010,0,0,1226,1368
5000,9010,0,0,1320,1472
5000,10010,0,0,1319,1705
12,10010,0,0,4,13
12,10010,1,0,2,4
12,20,0,0,0,0
12,6,0,0,0,0
12,6,0,0,0,0
12,0,0,0,0,0
10,6,0,0,0,0
10,6,0,0,0,0
10,6,1,0,0,0,6,6,6,6
10,6,0,0,0,0,6,6,6,6
10,7,0,0,0,0,7,7,7,7
5,25,0,0,0,0,2,2,2,2
10,4,0,0,0,0,-1,-1,-1,-1
10,0,10,0,0,0,0,0,0,0
10,6,0,0,0,0,1,1,1,1
10,6,0,0,0,0,1,1,1,1
11,6,0,0,0,0,1,1,1,1
11,6,0,0,0,0,2,2,2,2
