Tamaño Conjunto,Valor Objetivo,Fuerza Bruta,Backtracking,PD Top Down,PD Bottom Up
10,500,0.0,0,0,0
11,500,0.0,0,0,0
12,500,0.0,0,0,0
13,500,9.390024038461539e-06,0,0,0
14,500,8.719308035714285e-06,0,0,0
15,500,8.138020833333333e-06,0,0,0
16,500,8.58306884765625e-06,1,0,0
17,500,9.873334099264706e-06,3,0,0
18,500,8.477105034722223e-06,6,0,0
19,500,8.432488692434211e-06,13,0,0
20,500,8.20159912109375e-06,25,0,0
21,500,8.310590471540178e-06,49,0,0
22,500,8.019534024325283e-06,105,0,0
23,500,7.883362148119057e-06,206,0,0
24,500,7.55240519841512e-06,399,0,0
25,500,7.531642913818359e-06,793,0,0
26,500,7.369770453526424e-06,1590,0,0
27,500,7.294118404388428e-06,3177,0,0
28,500,7.217616907187871e-06,6363,0,0
29,500,7.142537626726874e-06,12708,0,0
